TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
6. Phải thu dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,
7. Dự phòng phải thu dài hạn khó đòi,"-66,998,000,000","-66,998,000,000","-66,998,000,000","-75,000,000,000","-75,000,000,000","-75,000,000,000","-75,000,000,000","-75,000,000,000","-75,000,000,000","-75,000,000,000","-75,000,000,000","-75,000,000,000","-75,000,000,000","-75,000,000,000","-75,000,000,000","-117,999,000,000","-117,999,000,000","-117,999,000,000","-117,999,000,000","-142,425,000,000","-142,425,000,000",,"-142,425,000,000","-75,000,000,000"
II.Tài sản cố định,"6,379,677,000,000","6,300,467,000,000","6,322,844,000,000","6,695,785,000,000","6,551,316,000,000","6,723,876,000,000","7,030,365,000,000","8,540,358,000,000","8,333,301,000,000","8,317,891,000,000","8,177,405,000,000","8,626,043,000,000","8,344,847,000,000","8,103,519,000,000","7,820,512,000,000","7,985,401,000,000","7,732,058,000,000","7,598,470,000,000","7,441,794,000,000","7,708,181,000,000","7,588,707,000,000",,"8,026,692,000,000","8,092,878,000,000"
1. Tài sản cố định hữu hình,"4,294,994,000,000","4,190,199,000,000","4,146,505,000,000","4,434,514,000,000","4,285,267,000,000","4,409,846,000,000","4,713,049,000,000","5,412,135,000,000","5,292,741,000,000","5,363,219,000,000","5,276,646,000,000","5,552,624,000,000","5,386,077,000,000","5,249,947,000,000","5,060,100,000,000","5,170,083,000,000","5,015,683,000,000","4,918,188,000,000","4,812,476,000,000","5,115,612,000,000","5,046,502,000,000",,"5,467,042,000,000","5,530,580,000,000"
- Nguyên giá,"10,528,483,000,000","10,592,876,000,000","1,071,152,000,000","11,146,104,000,000","11,176,414,000,000","11,485,262,000,000","12,026,277,000,000","12,864,742,000,000","12,930,147,000,000","13,221,132,000,000","13,335,075,000,000","13,725,160,000,000","13,748,800,000,000","13,797,299,000,000","13,806,057,000,000","13,950,173,000,000","14,021,442,000,000","14,154,402,000,000","14,244,588,000,000","14,714,588,000,000","14,846,915,000,000",,"15,640,902,000,000","15,808,303,000,000"
- Giá trị hao mòn lũy kế,"-6,233,489,000,000","-6,402,677,000,000","-6,565,018,000,000","-6,711,590,000,000","-6,891,147,000,000","-7,075,416,000,000","-7,313,228,000,000","-7,452,607,000,000","-7,637,406,000,000","-7,857,913,000,000","-8,058,429,000,000","-8,172,536,000,000","-8,362,723,000,000","-8,547,352,000,000","-8,745,957,000,000","-8,780,090,000,000","-9,005,759,000,000","-9,236,214,000,000","-9,432,112,000,000","-9,598,976,000,000","-9,800,413,000,000",,"-10,173,860,000,000","-10,277,723,000,000"
2. Tài sản cố định thuê tài chính,,,,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá,,,,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn lũy kế,,,,,,,,,,,,,,,,,,,,,,,,
