TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
C. NỢ PHẢI TRẢ,"74,514,884,000,000","83,162,134,710,942","87,820,149,506,099","94,687,434,766,311","98,197,168,380,550","105,713,249,426,321",,"134,315,195,000,000","137,552,316,000,000","145,653,989,000,000","145,476,797,000,000","153,237,506,000,000","162,702,099,000,000","171,124,495,000,000","173,970,650,000,000","177,578,734,000,000","194,370,857,000,000","200,205,136,000,000","206,750,696,000,000","209,896,239,253,715","216,171,576,458,016",,"238,829,998,172,795","245,128,982,523,515"
I. Nợ ngắn hạn,"1,706,000,000","1,641,130,000","1,576,627,000","1,512,124,000","1,447,621,000","1,383,118,000",,"1,254,000,000","1,190,000,000","1,125,000,000","1,061,000,000","996,000,000","777,000,000","722,000,000","667,000,000","612,000,000","558,000,000","503,000,000","448,000,000","344,636,000","297,245,000",,"202,463,000","2,577,610,884,052"
1. Phải trả người bán ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
2. Người mua trả tiền trước ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
3. Thuế và các khoản phải nộp nhà nước,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải trả người lao động,,,,,,,,,,,,,,,,,,,,,,,,
5. Chi phí phải trả ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
6. Phải trả nội bộ ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,,,,,,,,,,,,,,,,,,
8. Doanh thu chưa thực hiện ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
