Date,Open,High,Low,Close,Volume
2020-02-24,5625.0,5868.75,5525.0,5862.5,10560
2020-02-25,5625.0,5812.5,5500.0,5812.5,15456
2020-02-26,5468.75,5687.5,5406.25,5687.5,8032
2020-02-27,5312.5,5862.5,5312.5,5862.5,800
2020-02-28,5862.5,5862.5,5862.5,5862.5,0
2020-03-02,5862.5,5862.5,5862.5,5862.5,0
2020-03-03,5456.25,6187.5,5456.25,6187.5,42704
2020-03-04,9250.0,10200.0,9210.0,10200.0,24730
2020-03-05,5937.5,6281.25,5937.5,6281.25,2176
2020-03-06,5875.0,5875.0,5843.75,5843.75,14016
2020-03-09,5750.0,5868.75,5443.75,5868.75,21472
2020-03-10,5868.75,5868.75,5868.75,5868.75,0
2020-03-11,5812.5,5900.0,5812.5,5900.0,2400
2020-03-12,5487.5,5487.5,5487.5,5487.5,1632
2020-03-13,5312.5,5868.75,5106.25,5868.75,18224
2020-03-16,5500.0,5856.25,5462.5,5856.25,15392
2020-03-17,5468.75,5750.0,5450.0,5450.0,20688
2020-03-18,5250.0,5450.0,5068.75,5068.75,93568
2020-03-19,5062.5,5062.5,4718.75,4718.75,71424
2020-03-20,4687.5,4750.0,4625.0,4625.0,1120
2020-03-23,4562.5,4562.5,4306.25,4306.25,13584
2020-03-24,4012.5,4362.5,4012.5,4362.5,752
2020-03-25,4656.25,4662.5,4650.0,4650.0,15408
2020-03-26,4381.25,4737.5,4375.0,4375.0,3888
2020-03-27,4187.5,4256.25,4187.5,4256.25,1920
2020-03-30,3962.5,4437.5,3962.5,3968.75,2464
2020-03-31,3750.0,4225.0,3693.75,3693.75,33312
2020-04-01,3437.5,3950.0,3437.5,3475.0,3104
2020-04-02,3475.0,3475.0,3475.0,3475.0,0
2020-04-03,3712.5,3712.5,3481.25,3712.5,576
2020-04-06,3512.5,3968.75,3512.5,3968.75,7872
2020-04-07,4181.25,4218.75,3937.5,3943.75,1184
2020-04-08,3937.5,4062.5,3906.25,4062.5,4464
2020-04-09,4243.75,4337.5,3875.0,4337.5,8320
2020-04-13,4268.75,4625.0,4268.75,4581.25,2144
2020-04-14,4687.5,4875.0,4375.0,4875.0,15504
2020-04-15,4537.5,4687.5,4537.5,4581.25,41904
2020-04-16,4343.75,4687.5,4343.75,4681.25,656
2020-04-17,4868.75,4868.75,4362.5,4750.0,1456
2020-04-20,4750.0,4987.5,4750.0,4987.5,66016
2020-04-21,4643.75,5000.0,4643.75,4750.0,43712
2020-04-22,4687.5,4750.0,4500.0,4687.5,106592
2020-04-23,4931.25,4937.5,4656.25,4875.0,22752
2020-04-24,4875.0,5000.0,4687.5,4875.0,81312
2020-04-27,4625.0,4875.0,4562.5,4875.0,75440
2020-04-28,4768.75,4868.75,4768.75,4868.75,528
2020-04-29,4868.75,4868.75,4862.5,4862.5,468800
2020-04-30,4862.5,4862.5,4862.5,4862.5,0
2020-05-01,4862.5,4862.5,4862.5,4862.5,0
2020-05-04,4693.75,4793.75,4687.5,4793.75,37536
2020-05-05,4793.75,4793.75,4750.0,4781.25,62896
2020-05-06,4568.75,4937.5,4568.75,4937.5,103248
2020-05-07,5056.25,5056.25,4931.25,4993.75,7792
2020-05-08,5000.0,5187.5,4993.75,5187.5,50416
2020-05-11,5187.5,5375.0,5187.5,5375.0,74608
2020-05-12,5437.5,5437.5,5131.25,5156.25,101648
2020-05-13,5437.5,5437.5,5062.5,5237.5,13920
2020-05-14,5000.0,5237.5,5000.0,5125.0,85456
2020-05-15,5125.0,5125.0,5125.0,5125.0,0
2020-05-18,5125.0,5125.0,5125.0,5125.0,0
2020-05-19,5031.25,5312.5,5031.25,5312.5,113744
2020-05-20,5312.5,5312.5,5312.5,5312.5,0
2020-05-21,5562.5,5575.0,5375.0,5375.0,103552
2020-05-22,5500.0,5500.0,5268.75,5268.75,43856
2020-05-26,5218.75,5250.0,5218.75,5250.0,14528
2020-05-27,5312.5,5531.25,5250.0,5312.5,39920
2020-05-28,5125.0,5306.25,5125.0,5306.25,9776
2020-05-29,5306.25,5306.25,5125.0,5262.5,2576
2020-06-01,5250.0,5262.5,5125.0,5262.5,63440
2020-06-02,5437.5,5437.5,5218.75,5268.75,105616
2020-06-03,5250.0,5375.0,5250.0,5375.0,67136
2020-06-04,5375.0,5375.0,5250.0,5375.0,44976
2020-06-05,5375.0,5375.0,5250.0,5356.25,89936
2020-06-08,5356.25,5356.25,5356.25,5356.25,0
2020-06-09,5356.25,5356.25,5356.25,5356.25,0
2020-06-10,5631.25,5781.25,5631.25,5750.0,272416
2020-06-11,5750.0,6150.0,5750.0,6150.0,779216
2020-06-12,6187.5,6562.5,6125.0,6562.5,1188688
2020-06-15,7000.0,7000.0,6968.75,7000.0,1627312
2020-06-16,7375.0,7468.75,7250.0,7468.75,1452336
2020-06-17,7968.75,7968.75,7031.25,7406.25,1618896
2020-06-18,7406.25,7406.25,6937.5,6937.5,846016
2020-06-19,6500.0,7406.25,6500.0,7406.25,1560368
2020-06-22,7500.0,7906.25,7406.25,7906.25,2965824
2020-06-23,8000.0,8437.5,7812.5,8218.75,3048880
2020-06-24,7718.75,8125.0,7656.25,7656.25,2225360
2020-06-25,7187.5,7500.0,7125.0,7125.0,2003456
2020-06-26,6781.25,7031.25,6656.25,6656.25,1988448
2020-06-29,6968.75,7093.75,6812.5,7093.75,1611904
2020-06-30,7500.0,7500.0,6625.0,6812.5,1328096
2020-07-01,6625.0,6875.0,6343.75,6343.75,1332576
2020-07-02,6000.0,6562.5,6000.0,6250.0,1164432
2020-07-06,6375.0,6625.0,6375.0,6625.0,783216
2020-07-07,6625.0,6812.5,6531.25,6781.25,1154208
2020-07-08,6781.25,6812.5,6593.75,6750.0,860224
2020-07-09,6750.0,6875.0,6750.0,6781.25,752416
2020-07-10,6781.25,6781.25,6781.25,6781.25,0
2020-07-13,6531.25,6750.0,6531.25,6718.75,1084768
2020-07-14,6718.75,7187.5,6687.5,7187.5,1624992
2020-07-15,7187.5,7187.5,7187.5,7187.5,0
2020-07-16,7218.75,7218.75,6875.0,7000.0,802496
2020-07-17,6968.75,7468.75,6937.5,7468.75,1719664
2020-07-20,7468.75,7687.5,7187.5,7250.0,1033808
2020-07-21,7250.0,7625.0,7250.0,7625.0,1704016
2020-07-22,7625.0,7812.5,7375.0,7562.5,1150240
2020-07-23,7500.0,7625.0,7312.5,7468.75,997952
2020-07-24,7375.0,7468.75,6968.75,6968.75,1391504
2020-07-27,6593.75,6875.0,6500.0,6500.0,994544
2020-07-28,6500.0,6781.25,6187.5,6687.5,596096
2020-07-29,6500.0,6875.0,6225.0,6875.0,1045520
2020-07-30,6750.0,7187.5,6625.0,7031.25,776656
2020-07-31,7031.25,7031.25,6687.5,6937.5,445600
2020-08-03,6875.0,7187.5,6750.0,7187.5,894608
2020-08-04,7187.5,7687.5,7125.0,7500.0,1472656
2020-08-05,7937.5,8000.0,7875.0,8000.0,3297200
2020-08-06,8531.25,8531.25,8125.0,8375.0,1782352
2020-08-07,8125.0,8437.5,7937.5,8031.25,1262608
2020-08-10,8062.5,8062.5,7500.0,7687.5,1641760
2020-08-11,7500.0,7687.5,7312.5,7500.0,1560688
2020-08-12,7375.0,7750.0,7000.0,7000.0,4421120
2020-08-13,7490.0,7490.0,7490.0,7490.0,143730
2020-08-14,8010.0,8010.0,8010.0,8010.0,68270
2020-08-17,8570.0,8570.0,7500.0,8150.0,1569070
2020-08-18,8020.0,8160.0,8020.0,8150.0,608990
2020-08-19,8100.0,8160.0,8020.0,8020.0,526580
2020-08-20,8020.0,8100.0,7620.0,7800.0,697410
2020-08-21,7800.0,7990.0,7700.0,7890.0,629250
2020-08-24,7890.0,8000.0,7830.0,7850.0,764410
2020-08-25,7900.0,7900.0,7740.0,7740.0,669910
2020-08-26,7740.0,7810.0,7730.0,7750.0,531970
2020-08-27,7800.0,7950.0,7750.0,7900.0,643610
2020-08-28,7860.0,7990.0,7850.0,7880.0,452420
2020-08-31,7880.0,7970.0,7850.0,7900.0,573760
2020-09-01,7900.0,7960.0,7800.0,7900.0,334290
2020-09-02,7900.0,7900.0,7900.0,7900.0,0
2020-09-03,7900.0,7960.0,7820.0,7870.0,361110
2020-09-04,7500.0,7800.0,7500.0,7660.0,301410
2020-09-08,7410.0,7600.0,7360.0,7360.0,308090
2020-09-09,7310.0,7500.0,7300.0,7450.0,332480
2020-09-10,7450.0,7650.0,7450.0,7630.0,448260
2020-09-11,7630.0,7630.0,7630.0,7630.0,0
2020-09-14,7610.0,7610.0,7520.0,7580.0,489120
2020-09-15,7600.0,7600.0,7530.0,7560.0,436730
2020-09-16,7590.0,7590.0,7510.0,7510.0,389680
2020-09-17,7520.0,8000.0,7520.0,7970.0,1182470
2020-09-18,7980.0,7990.0,7800.0,7850.0,196790
2020-09-21,7900.0,7900.0,7680.0,7680.0,185190
2020-09-22,7450.0,7690.0,7450.0,7580.0,544090
2020-09-23,7580.0,7850.0,7520.0,7700.0,578730
2020-09-24,7530.0,7800.0,7530.0,7720.0,248290
2020-09-25,7750.0,7950.0,7640.0,7640.0,305280
2020-09-28,7700.0,7950.0,7580.0,7900.0,624910
2020-09-29,7950.0,8200.0,7900.0,8000.0,1042690
2020-09-30,8000.0,8100.0,7790.0,7820.0,263870
2020-10-01,7990.0,7990.0,7800.0,7800.0,662820
2020-10-02,7800.0,7800.0,7580.0,7600.0,446240
2020-10-05,7800.0,7900.0,7660.0,7700.0,340440
2020-10-06,7800.0,7830.0,7630.0,7800.0,264980
2020-10-07,7840.0,7900.0,7730.0,7800.0,275890
2020-10-08,7650.0,7950.0,7650.0,7750.0,321400
2020-10-09,7790.0,7790.0,7680.0,7710.0,361120
2020-10-12,7710.0,7750.0,7500.0,7500.0,384090
2020-10-13,7500.0,7590.0,7500.0,7510.0,113430
2020-10-14,7510.0,7600.0,7510.0,7590.0,366920
2020-10-15,7580.0,7680.0,7500.0,7590.0,468400
2020-10-16,7500.0,7500.0,7060.0,7100.0,1029220
2020-10-19,7000.0,7100.0,6700.0,6700.0,830890
