Date,Open,High,Low,Close,Adj Close,Volume
2023-10-26,4390.0,4460.0,4210.0,4450.0,,1034900.0
2023-10-29,4150.0,4210.0,4140.0,4140.0,,6781500.0
2023-10-30,4100.0,4160.0,3860.0,3860.0,,4038500.0
2023-10-31,3900.0,3970.0,3830.0,3960.0,,2029300.0
2023-11-01,4000.0,4230.0,4000.0,4220.0,,1890900.0
2023-11-02,4250.0,4250.0,4050.0,4100.0,,1672300.0
2023-11-05,4120.0,4180.0,4080.0,4100.0,,952700.0
2023-11-06,4100.0,4150.0,4050.0,4070.0,,1078200.0
2023-11-07,4070.0,4250.0,4020.0,4250.0,,2258100.0
2023-11-08,4320.0,4470.0,4250.0,4420.0,,3335200.0
2023-11-09,4350.0,4460.0,4300.0,4360.0,,2067700.0
2023-11-12,4390.0,4540.0,4350.0,4480.0,,3869500.0
2023-11-13,4510.0,4550.0,4420.0,4450.0,,2570200.0
2023-11-14,4540.0,4580.0,4400.0,4420.0,,2540200.0
2023-11-15,4420.0,4490.0,4390.0,4400.0,,1339400.0
2023-11-16,4480.0,4590.0,4440.0,4540.0,,8225800.0
2023-11-19,4520.0,4520.0,4410.0,4460.0,,2008300.0
2023-11-20,4510.0,4650.0,4440.0,4600.0,,5030600.0
2023-11-21,4600.0,4640.0,4560.0,4570.0,,2348100.0
2023-11-22,4640.0,4680.0,4500.0,4500.0,,3225200.0
2023-11-23,4410.0,4490.0,4250.0,4400.0,,3576600.0
2023-11-26,4400.0,4430.0,4250.0,4250.0,,1558000.0
2023-11-27,4270.0,4340.0,4230.0,4270.0,,1291400.0
2023-11-28,4300.0,4360.0,4270.0,4320.0,,889000.0
2023-11-29,4300.0,4450.0,4300.0,4330.0,,1102300.0
2023-11-30,4380.0,4380.0,4300.0,4350.0,,879700.0
2023-12-03,4410.0,4510.0,4380.0,4490.0,,1532900.0
2023-12-04,4500.0,4530.0,4440.0,4470.0,,1717600.0
2023-12-05,4460.0,4590.0,4460.0,4590.0,,2493300.0
2023-12-06,4650.0,4810.0,4550.0,4700.0,,4984900.0
2023-12-07,4700.0,4780.0,4600.0,4650.0,,1899100.0
2023-12-10,4650.0,4700.0,4550.0,4560.0,,1892500.0
2023-12-11,4580.0,4640.0,4570.0,4610.0,,1189000.0
2023-12-12,4620.0,4660.0,4520.0,4520.0,,1870400.0
2023-12-14,4480.0,4490.0,4390.0,4430.0,,1779200.0
2023-12-17,4480.0,4570.0,4430.0,4490.0,,1498000.0
2023-12-18,4530.0,4590.0,4400.0,4500.0,,1279300.0
2023-12-19,4540.0,4540.0,4460.0,4510.0,,788100.0
2023-12-20,4500.0,4500.0,4440.0,4460.0,,806600.0
2023-12-21,4450.0,4500.0,4420.0,4440.0,,897000.0
2023-12-24,4460.0,4530.0,4440.0,4530.0,,1187800.0
2023-12-25,4580.0,4580.0,4500.0,4520.0,,597900.0
2023-12-26,4530.0,4580.0,4510.0,4510.0,,981300.0
2023-12-27,4520.0,4530.0,4480.0,4480.0,,827600.0
2023-12-28,4470.0,4510.0,4460.0,4490.0,,1231700.0
2024-01-01,4550.0,4680.0,4500.0,4600.0,,2378400.0
2024-01-02,4630.0,4820.0,4620.0,4770.0,,3574600.0
2024-01-03,4800.0,4800.0,4680.0,4700.0,,2473300.0
2024-01-04,4700.0,4720.0,4580.0,4600.0,,1986300.0
2024-01-07,4620.0,4660.0,4590.0,4600.0,,1434300.0
2024-01-08,4630.0,4630.0,4560.0,4560.0,,1577500.0
2024-01-09,4560.0,4650.0,4550.0,4560.0,,1079700.0
2024-01-10,4580.0,4600.0,4560.0,4580.0,,927000.0
2024-01-11,4580.0,4580.0,4450.0,4500.0,,1888500.0
2024-01-14,4550.0,4580.0,4490.0,4490.0,,641700.0
2024-01-15,4480.0,4500.0,4470.0,4500.0,,789800.0
2024-01-16,4530.0,4540.0,4470.0,4470.0,,1237800.0
2024-01-18,4510.0,4540.0,4500.0,4500.0,,1024000.0
2024-01-21,4510.0,4520.0,4470.0,4490.0,,755300.0
2024-01-22,4500.0,4520.0,4470.0,4520.0,,1105600.0
2024-01-23,4540.0,4560.0,4520.0,4550.0,,1040100.0
2024-01-24,4550.0,4600.0,4530.0,4540.0,,964500.0
2024-01-25,4550.0,4590.0,4530.0,4530.0,,663600.0
2024-01-28,4550.0,4560.0,4510.0,4510.0,,800300.0
2024-01-29,4600.0,4680.0,4560.0,4650.0,,2648800.0
2024-01-30,4660.0,4670.0,4520.0,4520.0,,1377800.0
2024-01-31,4560.0,4580.0,4510.0,4550.0,,978300.0
2024-02-01,4560.0,4580.0,4520.0,4520.0,,1163900.0
2024-02-04,4550.0,4550.0,4400.0,4480.0,,1384700.0
2024-02-05,4450.0,4560.0,4450.0,4540.0,,1299700.0
2024-02-06,4540.0,4580.0,4510.0,4560.0,,742400.0
2024-02-14,4570.0,4600.0,4560.0,4580.0,,1000400.0
2024-02-15,4580.0,4690.0,4580.0,4660.0,,2281900.0
2024-02-18,4670.0,4870.0,4670.0,4830.0,,3289100.0
2024-02-19,4850.0,4850.0,4730.0,4760.0,,2537500.0
2024-02-20,4770.0,4810.0,4720.0,4750.0,,1801400.0
2024-02-21,4780.0,5080.0,4780.0,5080.0,,8805000.0
2024-02-22,5180.0,5230.0,4960.0,5000.0,,4856400.0
2024-02-25,5000.0,5080.0,4850.0,4920.0,,3608400.0
2024-02-26,4960.0,4960.0,4860.0,4900.0,,2770600.0
2024-02-27,4910.0,5060.0,4880.0,5010.0,,2132200.0
2024-02-28,5020.0,5020.0,4910.0,4940.0,,1781800.0
2024-02-29,4940.0,5000.0,4910.0,4970.0,,1297100.0
2024-03-03,5030.0,5060.0,4980.0,5040.0,,2626400.0
2024-03-04,5100.0,5140.0,5000.0,5070.0,,2018300.0
2024-03-05,5100.0,5110.0,4930.0,4960.0,,2831200.0
2024-03-06,4960.0,4970.0,4920.0,4950.0,,1378700.0
2024-03-07,4960.0,5050.0,4920.0,4940.0,,1879000.0
2024-03-10,4940.0,4970.0,4820.0,4820.0,,1609900.0
2024-03-11,4820.0,4850.0,4760.0,4780.0,,1767200.0
2024-03-12,4780.0,4870.0,4780.0,4860.0,,914500.0
2024-03-13,4900.0,4920.0,4810.0,4840.0,,1506800.0
2024-03-14,4810.0,4870.0,4800.0,4830.0,,1297300.0
2024-03-17,4900.0,4960.0,4700.0,4830.0,,2856900.0
2024-03-18,4880.0,4880.0,4820.0,4830.0,,825800.0
2024-03-19,4830.0,4880.0,4800.0,4870.0,,895000.0
2024-03-20,4880.0,4980.0,4880.0,4970.0,,2282500.0
2024-03-21,4970.0,5020.0,4920.0,4930.0,,1607400.0
2024-03-24,4900.0,4960.0,4880.0,4890.0,,2011100.0
2024-03-25,4880.0,4990.0,4860.0,4950.0,,1037400.0
2024-03-26,4970.0,5030.0,4950.0,5000.0,,1823800.0
2024-03-27,5030.0,5060.0,4940.0,4970.0,,1244400.0
2024-03-28,4980.0,5010.0,4910.0,4930.0,,1460600.0
2024-03-31,4910.0,4930.0,4850.0,4880.0,,1663500.0
2024-04-01,4920.0,4920.0,4810.0,4850.0,,1120200.0
2024-04-02,4830.0,4840.0,4740.0,4780.0,,2848900.0
2024-04-03,4760.0,4800.0,4680.0,4680.0,,1796600.0
2024-04-04,4680.0,4680.0,4600.0,4630.0,,1513700.0
2024-04-07,4600.0,4650.0,4570.0,4570.0,,1482900.0
2024-04-08,4550.0,4640.0,4540.0,4640.0,,713800.0
2024-04-09,4660.0,4680.0,4600.0,4620.0,,935400.0
2024-04-10,4590.0,4810.0,4550.0,4720.0,,1548800.0
2024-04-11,4720.0,4760.0,4670.0,4700.0,,694600.0
2024-04-14,4690.0,4700.0,4380.0,4380.0,,2671200.0
2024-04-15,4400.0,4450.0,4170.0,4310.0,,2464200.0
2024-04-16,4310.0,4420.0,4300.0,4370.0,,936200.0
2024-04-18,4380.0,4380.0,4210.0,4300.0,,926700.0
2024-04-21,4290.0,4370.0,4290.0,4320.0,,558100.0
2024-04-22,4320.0,4400.0,4300.0,4310.0,,1042300.0
2024-04-23,4310.0,4400.0,4310.0,4390.0,,757900.0
2024-04-24,4400.0,4400.0,4350.0,4390.0,,332600.0
2024-04-25,4390.0,4490.0,4380.0,4430.0,,812900.0
2024-05-01,4470.0,4470.0,4400.0,4430.0,,346100.0
2024-05-02,4440.0,4520.0,4430.0,4450.0,,828100.0
2024-05-05,4460.0,4490.0,4450.0,4470.0,,625300.0
2024-05-06,4470.0,4500.0,4450.0,4480.0,,544600.0
2024-05-07,4490.0,4500.0,4440.0,4480.0,,457700.0
2024-05-08,4500.0,4500.0,4470.0,4490.0,,575800.0
2024-05-09,4500.0,4620.0,4500.0,4540.0,,1237900.0
2024-05-12,4590.0,4730.0,4560.0,4650.0,,1193600.0
2024-05-13,4660.0,4720.0,4590.0,4600.0,,746300.0
2024-05-14,4630.0,4640.0,4590.0,4620.0,,878900.0
2024-05-15,4620.0,4670.0,4580.0,4620.0,,581400.0
2024-05-16,4620.0,4650.0,4580.0,4630.0,,537200.0
2024-05-19,4670.0,4730.0,4650.0,4670.0,,1045500.0
2024-05-20,4670.0,4780.0,4670.0,4750.0,,1983700.0
2024-05-21,4780.0,4940.0,4740.0,4880.0,,2967000.0
2024-05-22,4850.0,4900.0,4790.0,4870.0,,1601400.0
2024-05-23,4820.0,4820.0,4600.0,4620.0,,1807300.0
2024-05-26,4620.0,4690.0,4580.0,4640.0,,783400.0
2024-05-27,4650.0,4730.0,4630.0,4690.0,,662200.0
2024-05-28,4690.0,4910.0,4690.0,4800.0,,1772000.0
2024-05-29,4800.0,4910.0,4740.0,4800.0,,1543100.0
2024-05-30,4800.0,4850.0,4730.0,4750.0,,856900.0
2024-06-02,4800.0,4870.0,4750.0,4780.0,,1156100.0
2024-06-03,4830.0,4840.0,4740.0,4780.0,,1076200.0
2024-06-04,4780.0,4810.0,4720.0,4720.0,,1060400.0
2024-06-05,4730.0,4780.0,4710.0,4740.0,,755600.0
2024-06-06,4740.0,4760.0,4700.0,4700.0,,906000.0
2024-06-09,4740.0,4740.0,4690.0,4690.0,,1054000.0
2024-06-10,4740.0,4740.0,4650.0,4670.0,,741900.0
2024-06-11,4680.0,4700.0,4660.0,4700.0,,587600.0
2024-06-12,4760.0,4770.0,4710.0,4710.0,,562500.0
2024-06-13,4720.0,4870.0,4710.0,4720.0,,2015800.0
2024-06-16,4730.0,4790.0,4650.0,4680.0,,704300.0
2024-06-17,4680.0,4700.0,4650.0,4650.0,,616700.0
2024-06-18,4690.0,4690.0,4600.0,4630.0,,807500.0
2024-06-19,4600.0,4640.0,4590.0,4610.0,,613300.0
