,company_id,quarter,P,EPS,D/E,SIZE
3942,REE,2024-10-01,-0.5803566863083053,-0.09246716571556832,-0.19675313869731573,1.7810348646624996
3943,ROS,2016-07-01,0.09894852513875768,-0.09246721654514567,-0.1745482345790601,0.8245179331707562
3944,ROS,2017-01-01,3.7248297485128705,-0.09246721541470233,-0.23810578232437105,0.7801031180817789
3945,ROS,2017-04-01,3.601908449438786,-0.09246721876565937,-0.20663129181148826,0.8242845434409188
3946,ROS,2017-07-01,2.721254111198516,-0.09246721844267557,-0.17923089663667285,0.8762670375551191
3947,ROS,2017-10-01,4.744462006386051,-0.09246716938950918,-0.1358130525465028,0.9906335456639245
3948,ROS,2018-04-01,2.27013165847724,-0.09246721678738352,-0.11399531850757277,1.0247889163289463
3949,ROS,2018-07-01,1.0775146025106868,-0.09246722284332999,-0.09474128870667951,1.047030148122238
3950,ROS,2018-10-01,0.9269369809884845,-0.09246721541470233,-0.1427576898075891,1.0036716801140493
3951,ROS,2019-01-01,0.7725665990624401,-0.09246722211661641,-0.140625151574284,1.0088894168382383
3952,ROS,2019-04-01,0.6538904047323325,-0.09246722086505414,-0.14674043689715327,1.0062255642924391
3953,ROS,2019-07-01,0.517223190259321,-0.09246722332780571,-0.13286592452998594,1.024467358004936
3954,ROS,2019-10-01,0.40347688878182975,-0.09246721674701056,-0.15437991667324588,1.0072078608170305
3955,ROS,2020-01-01,-0.2434437589694366,-0.09246722389302738,-0.14988124649686083,1.0126676483668164
3956,ROS,2020-04-01,-0.4414486291347418,-0.09246723467261209,-0.09967391658236434,1.0542361354215903
3957,ROS,2020-07-01,-0.4847107122164875,-0.0924672238526544,-0.09927313709120063,1.0548192916075148
3958,ROS,2020-10-01,-0.4908366329144382,-0.09246721319418862,-0.15968828543339098,0.997297077944303
3959,ROS,2021-01-01,-0.43188198906726916,-0.0924672226414651,-0.12414635685939594,1.0411661459459498
3960,ROS,2021-04-01,-0.315271339066382,-0.09246722288370297,-0.11033570763142568,1.058298804450248
3961,ROS,2021-10-01,-0.27712114520790626,-0.09246721953274592,-0.09417490986649768,1.0825311953268948
3962,SAB,2016-10-01,6.913291659285171,-0.09246716555407641,-0.21497448062282512,1.3805940937588892
3963,SAB,2017-01-01,7.968249909876731,-0.09246715295770777,-0.26779746431541057,1.3638089329743381
3964,SAB,2017-04-01,7.336725933639281,-0.09246715041421025,-0.27277733310681307,1.406089722743182
3965,SAB,2017-07-01,9.266601155200268,-0.09246715885216232,-0.2804927078185641,1.4423011734308415
3966,SAB,2017-10-01,10.802132040220666,-0.09246714613467474,-0.2332928230602945,1.4666783640271945
3967,SAB,2018-01-01,9.006961304596556,-0.09246715384591325,-0.28071868068607964,1.427994663902687
3968,SAB,2018-04-01,8.65064486891636,-0.09246715045458323,-0.2877188775273718,1.4651648748103199
3969,SAB,2018-07-01,8.023235804476686,-0.09246716611929809,-0.29135538245959963,1.4924338579167402
3970,SAB,2018-10-01,8.814266866456887,-0.09246717314419599,-0.264784135564516,1.4751598960923404
3971,SAB,2019-01-01,9.06476029554218,-0.0924671517061455,-0.2808705384942495,1.4935041705757142
3972,SAB,2019-04-01,9.674430054862254,-0.09246713656627932,-0.2928742315399837,1.5208394521428936
3973,SAB,2019-07-01,10.334805671175946,-0.09246714068432292,-0.2895390089857786,1.5393344211748379
3974,SAB,2019-10-01,9.269279801965165,-0.09246716490810879,-0.27842485618649276,1.592586493693325
3975,SAB,2020-01-01,6.795662688588429,-0.09246718230886164,-0.28867770899342576,1.5241205533568536
3976,SAB,2020-04-01,6.015112132126776,-0.09246715235211311,-0.2837237274624769,1.5735307908487415
3977,SAB,2020-07-01,6.800591890685821,-0.09246714133029055,-0.2865407999894841,1.6092840685710699
3978,SAB,2020-10-01,7.039833086610874,-0.0924671345476305,-0.29399325754202615,1.6021542470001275
3979,SAB,2021-01-01,6.761038975431102,-0.09246716224349234,-0.29876126001363934,1.593209827574651
3980,SAB,2021-04-01,5.950282790623775,-0.09246716317207081,-0.29445577054524863,1.6288731036634034
3981,SAB,2021-07-01,5.618469919989722,-0.09246719825618734,-0.3030527685027919,1.6259372922999757
3982,SAB,2021-10-01,5.771088229138056,-0.09246714342968532,-0.2765650636118986,1.6700047499784276
3983,SAB,2022-01-01,5.702482348867574,-0.09246715210987526,-0.28831295954746133,1.6574815288503217
3984,SAM,2005-01-01,-0.5797488599178753,-0.09246718618466739,-0.19466940299177835,-0.5473089712462686
3985,SAM,2005-07-01,-0.5797565343050441,-0.09246716531183856,-0.19466940299177835,-0.5473089712462686
