company_id,quarter,P,EPS,D/E,P/E,SIZE,P_t_plus_1
TCD,2020-01-01,8326.940864213017,192.0,2.847064981494412,43.36948366777613,28.39363289858053,7237.278257308468
TCD,2020-04-01,7237.278257308468,428.0,3.4445581768608937,16.909528638571185,28.57101428651063,7673.218174660853
TCD,2020-07-01,7673.218174660853,286.0,7.371974164650961,26.829434177135848,29.205393056874584,8806.790307806445
TCD,2020-10-01,8806.790307806445,1692.0,8.377974039317746,5.20495881076031,29.451553284652437,12277.15714111328
TCD,2021-01-01,12277.15714111328,761.0,5.341993259477207,16.13292659804636,29.541969288042846,11399.879640689564
TCD,2021-04-01,11399.879640689564,1571.0,4.744522652047729,7.256447893500678,29.55641288448952,15598.439952850342
TCD,2021-07-01,15598.439952850342,890.0,3.7872503770350376,17.52633702567454,29.39407117978311,25355.92255632268
TCD,2021-10-01,25355.92255632268,583.0,3.5261444567106586,43.49214846710579,29.384787003910528,20454.057164884867
TCD,2022-01-01,20454.057164884867,599.0,2.135532402855985,34.14700695306322,29.58076776884617,11492.319194178428
TCD,2022-04-01,11492.319194178428,1445.0,1.4368449709884523,7.953162072095798,29.8033437322274,9226.146871899802
TCD,2022-07-01,9226.146871899802,178.0,1.6061084218082196,51.8322857971899,29.835287568288155,4926.74795297476
TCD,2022-10-01,4926.74795297476,-390.0,1.7066001684408751,-12.63268705890964,29.920504511527668,4559.969652078919
TCD,2023-01-01,4559.969652078919,264.0,1.5626842110969543,17.272612318480753,29.894322223156955,6838.599916519657
TCD,2023-04-01,6838.599916519657,30.0,1.4395444450336556,227.95333055065524,29.834464512182876,7701.48576233879
TCD,2023-07-01,7701.48576233879,190.0,1.4262388186907669,40.53413559125679,29.848323830236804,6067.987552584134
TCD,2024-01-01,6651.374861653646,48.0,1.3697051893094103,138.5703096177843,29.82429921815528,6124.292096247438
TCD,2024-04-01,6124.292096247438,64.0,1.36618426903727,95.69206400386622,29.833809557468868,5477.48918030754
TCD,2024-07-01,5477.48918030754,34.0,1.3692744914464063,161.10262295022176,29.84046084660824,4768.709677419355
TCM,2007-10-01,29764.04833984375,331.0,2.7004961283733966,89.92159619288142,27.73241710548778,18688.269845736228
TCM,2009-07-01,6490.447986778846,723.0,2.177365260971829,8.977106482405043,28.164904911058237,8132.453816105769
TCM,2022-04-01,44045.16544858871,1326.0,1.0715527181665645,33.21656519501411,28.961805154307456,35330.05865575397
TDP,2020-10-01,20218.17038532839,206.0,1.9018638705160973,98.14645818120576,28.235772847313974,17925.017462261654
TDP,2021-01-01,17925.017462261654,561.0,2.095054590113589,31.95190278478013,28.346948015881782,17619.170236895163
TDP,2021-04-01,17619.170236895163,524.0,2.327434397224754,33.62437068109764,28.460562044536413,19761.06219482422
TDP,2021-07-01,19761.06219482422,207.0,2.565868257188206,95.46406857403004,28.547720338798094,19627.502227783203
TDP,2021-10-01,19627.502227783203,458.0,2.8317546914287486,42.85480835760525,28.640966772957327,18696.59168101165
TDP,2022-01-01,18696.59168101165,458.0,2.9086937194366262,40.82225257862807,28.703746327316352,18979.44425027412
TDP,2022-04-01,18979.44425027412,492.0,3.0737801507943843,38.57610619974415,28.78225628864487,21596.11280097336
TDP,2022-07-01,21596.11280097336,446.0,2.819211887545173,48.42177758065776,28.752510933564142,22513.185424804688
TDP,2022-10-01,22513.185424804688,36.0,3.0695982395647623,625.3662618001302,28.83142532354728,26192.34206627155
TDP,2023-01-01,26192.34206627155,156.0,2.9786520945647035,167.89962862994585,28.818940687346835,26655.15625
TDP,2023-04-01,26655.15625,79.0,3.070318910460468,337.4070411392405,28.850466068655475,29388.226498463115
TDP,2023-07-01,29388.226498463115,109.0,3.378569890738873,269.6167568666341,28.93332060152324,28113.636291503903
TDP,2023-10-01,28113.636291503903,230.0,3.296455570587244,122.23320126740828,28.93485472031873,27862.095570709746
TDP,2024-01-01,27862.095570709746,225.0,3.161222139165759,123.8315358698211,28.981532166374933,30409.090885416663
TDP,2024-04-01,30409.090885416663,360.0,2.789888625621,84.46969690393519,28.93611891622816,33189.70178222656
TDP,2024-07-01,33189.70178222656,319.0,2.7951701125616286,104.04295229538108,28.96934399384856,33717.74193548387
TIP,2010-01-01,71.27313445044345,762.0,0.2283176034719745,0.0935342971790596,26.83751793958293,72.63028656490265
TIP,2010-04-01,72.63028656490265,1086.0,0.2283176034719745,0.0668787169105917,26.83751793958293,74.30969333648682
TIP,2010-07-01,74.30969333648682,214.0,0.2283176034719745,0.3472415576471346,26.83751793958293,76.2988772392273
TIP,2011-01-01,75.52332109020603,976.0,0.2694734374617901,0.0773804519366865,26.80561254756017,78.49044811914838
TIP,2011-04-01,78.49044811914838,245.0,0.2694734374617901,0.320369175996524,26.80561254756017,82.71920657157898
TIP,2011-07-01,82.71920657157898,155.0,0.2694734374617901,0.5336723004617999,26.80561254756017,84.65597861153739
TIP,2012-01-01,86.19333710209015,810.0,0.6694405380263065,0.106411527286531,27.124773872693417,88.00383419460721
TIP,2013-01-01,90.17121162414551,1024.0,0.5077860738203305,0.0880578238517046,27.04813000678213,88.63289427757263
TIP,2013-07-01,83.94846951961517,351.0,0.5077860738203305,0.2391694288308124,27.04813000678213,84.19858348369598
TIP,2013-10-01,84.19858348369598,618.0,0.5077860738203305,0.1362436625949773,27.04813000678213,84.4483501246718
TIP,2014-01-01,84.4483501246718,1168.0,0.45483514034377,0.0723016696272875,27.01323623868012,86.26367611355252
TIP,2014-07-01,87.51072156429291,94.0,0.45483514034377,0.9309651230243926,27.01323623868012,86.6077172756195
TIP,2014-10-01,86.6077172756195,599.0,0.45483514034377,0.1445871740828372,27.01323623868012,86.99384057717245
TIP,2015-04-01,86.73911987789093,156.0,0.600709323737983,0.5560199992172495,27.077653831829544,85.64949524402618
TIP,2016-01-01,86.00109125356205,503.0,0.4037583287373107,0.1709763245597655,27.048078271398737,88.41351628303528
TIP,2016-04-01,88.41351628303528,747.0,0.2588233883073191,0.1183581208608236,26.94747042491445,90.1128944158554
TIP,2016-07-01,90.1128944158554,544.0,0.226867397479527,0.1656487029703224,26.95589635869253,89.04803539457775
TIP,2016-10-01,89.04803539457775,581.0,0.1816375190333941,0.1532668423314591,26.95433250740409,88.9803605848743
TIP,2017-01-01,88.9803605848743,346.0,0.3095802271950123,0.2571686722106194,26.978891827894472,89.59529779827784
