TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
5. Tài sản ngắn hạn khác,,,,,,,,,,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN,"2,146,585,909,785","1,804,396,715,393","1,835,914,872,935","2,001,455,506,405","2,131,628,045,856","2,242,978,657,917","2,312,044,773,731","2,465,487,607,410","2,881,254,398,265","2,932,737,721,462","3,047,471,370,125","3,192,287,461,255","3,470,562,713,527","3,513,095,151,889","3,716,633,606,741","3,941,972,402,487","3,951,651,481,950","4,055,688,313,408","4,063,376,793,900","4,054,430,239,785","4,100,818,319,501","4,133,254,848,765","4,070,863,405,791","4,007,952,460,919"
I. Các khoản phải thu dài hạn,"1,384,206,875","1,384,206,875","5,884,206,875","5,884,206,875","1,384,206,875","1,384,206,875","1,384,206,875","1,409,400,875","1,409,400,875","1,422,400,875","1,422,400,875","1,422,400,875","2,854,856,075","2,854,856,075","2,854,856,075","2,854,856,075","2,854,856,075","2,854,856,075","2,871,356,075","2,871,356,075","3,407,337,275","3,407,337,275","3,407,337,275","3,407,337,275"
1. Phải thu dài hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,
2. Trả trước cho người bán dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
3. Vốn kinh doanh ở đơn vị trực thuộc,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
6. Phải thu dài hạn khác,"1,384,206,875","1,384,206,875","5,884,206,875","5,884,206,875","1,384,206,875","1,384,206,875","1,384,206,875","1,409,400,875","1,409,400,875","1,422,400,875","1,422,400,875","1,422,400,875","2,854,856,075","2,854,856,075","2,854,856,075","2,854,856,075","2,854,856,075","2,854,856,075","2,871,356,075","2,871,356,075","3,407,337,275","3,407,337,275","3,407,337,275","3,407,337,275"
7. Dự phòng phải thu dài hạn khó đòi,,,,,,,,,,,,,,,,,,,,,,,,
II.Tài sản cố định,"1,395,598,993,813","1,449,053,102,685","1,431,100,603,651","1,504,402,862,517","1,591,840,489,919","1,739,420,401,299","1,734,465,598,933","1,807,979,144,499","2,016,292,419,407","2,128,426,011,488","2,081,799,146,770","2,069,544,874,153","2,061,155,798,161","2,138,360,205,865","2,453,363,770,584","2,822,980,686,570","2,843,937,884,597","2,861,780,483,913","3,131,151,848,068","3,380,366,177,674","3,352,244,413,282","3,446,743,272,326","3,454,567,383,934","3,415,227,119,765"
1. Tài sản cố định hữu hình,"1,102,088,678,456","1,157,098,794,810","1,140,599,196,361","1,215,525,158,155","1,280,467,551,876","1,429,853,294,327","1,427,261,101,273","1,502,720,189,875","1,713,737,910,545","1,827,375,601,294","1,783,473,181,212","1,773,424,581,488","1,771,065,828,835","1,819,663,543,430","2,149,694,914,584","2,521,906,546,525","2,544,706,853,123","2,480,540,568,924","2,754,152,052,372","2,918,490,895,508","2,890,850,875,810","2,988,442,503,701","2,983,459,945,959","2,944,000,097,264"
- Nguyên giá,"1,987,419,311,096","2,071,071,414,879","2,090,504,105,388","2,180,298,582,377","2,287,309,965,918","2,480,541,078,483","2,527,109,229,050","2,643,187,266,422","3,002,546,356,067","3,176,585,235,949","3,189,470,034,115","3,241,288,321,649","3,295,707,324,539","3,373,279,804,453","3,772,556,450,300","4,218,094,974,379","4,320,404,248,932","4,338,164,719,427","4,693,813,148,894","4,942,913,725,386","5,005,943,361,141","5,199,775,802,522","5,301,576,642,764","5,360,869,503,341"
- Giá trị hao mòn lũy kế,"-885,330,632,640","-913,972,620,069","-949,904,909,027","-964,773,424,222","-1,006,842,414,042","-1,050,687,784,156","-1,099,848,127,777","-1,140,467,076,547","-1,288,808,445,522","-1,349,209,634,655","-1,405,996,852,903","-1,467,863,740,161","-1,524,641,495,704","-1,553,616,261,023","-1,622,861,535,716","-1,696,188,427,854","-1,775,697,395,809","-1,857,624,150,503","-1,939,661,096,522","-2,024,422,829,878","-2,115,092,485,331","-2,211,333,298,821","-2,318,116,696,805","-2,416,869,406,077"
2. Tài sản cố định thuê tài chính,,,,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá,,,,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn lũy kế,,,,,,,,,,,,,,,,,,,,,,,,
3. Tài sản cố định vô hình,"293,510,315,357","291,954,307,875","290,501,407,290","288,877,704,362","311,372,938,043","309,567,106,972","307,204,497,660","305,258,954,624","302,554,508,862","301,050,410,194","298,325,965,558","296,120,292,665","290,089,969,326","318,696,662,435","303,668,856,000","301,074,140,045","299,231,031,474","381,239,914,989","376,999,795,696","461,875,282,166","461,393,537,472","458,300,768,625","471,107,437,975","471,227,022,501"
- Nguyên giá,"302,335,174,361","302,956,476,511","303,730,170,864","304,346,297,214","329,088,588,081","329,539,770,610","329,491,929,570","330,283,179,570","330,389,654,570","331,680,388,614","332,068,052,114","332,535,215,750","328,836,165,750","360,501,309,457","347,904,718,452","348,486,485,342","348,486,485,342","434,259,882,442","434,509,032,442","523,986,964,095","525,943,498,975","528,077,621,475","549,222,562,285","555,595,802,285"
- Giá trị hao mòn lũy kế,"-8,824,859,004","-11,002,168,636","-13,228,763,574","-15,468,592,852","-17,715,650,038","-19,972,663,638","-22,287,431,910","-25,024,224,946","-27,835,145,708","-30,629,978,420","-33,742,086,556","-36,414,923,085","-38,746,196,424","-41,804,647,022","-44,235,862,452","-47,412,345,297","-49,255,453,868","-53,019,967,453","-57,509,236,746","-62,111,681,929","-64,549,961,503","-69,776,852,850","-78,115,124,310","-84,368,779,784"
III. Bất động sản đầu tư,,,,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá,,,,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn lũy kế,,,,,,,,,,,,,,,,,,,,,,,,
IV. Tài sản dở dang dài hạn,"280,863,194,053","238,114,987,529","244,913,459,966","335,185,361,275","378,055,095,061","319,155,164,461","379,741,307,229","383,842,039,519","296,178,265,851","213,191,086,492","285,590,659,707","555,974,468,032","800,790,699,020","811,844,142,445","710,986,837,519","565,780,626,128","561,989,101,663","652,720,097,757","408,748,346,437","162,821,670,545","244,849,686,095","194,255,284,822","137,234,873,073","115,116,677,537"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,,,,,,,,,,,,,,,,,,,,,,,
2. Chi phí xây dựng cơ bản dở dang,"280,863,194,053","238,114,987,529","244,913,459,966","335,185,361,275","378,055,095,061","319,155,164,461","379,741,307,229","383,842,039,519","296,178,265,851","213,191,086,492","285,590,659,707","555,974,468,032","800,790,699,020","811,844,142,445","710,986,837,519","565,780,626,128","561,989,101,663","652,720,097,757","408,748,346,437","162,821,670,545","244,849,686,095","194,255,284,822","137,234,873,073","115,116,677,537"
V. Đầu tư tài chính dài hạn,"362,448,019,793","4,483,876,985","1,414,429,978","1,414,429,978","1,414,429,978","1,414,429,978","12,338,605,429","62,433,391,211","62,248,416,820","62,613,341,890","166,420,449,466","66,219,741,730","117,680,517,645","67,130,229,454","67,319,107,428","66,442,257,667","66,596,554,919","66,881,603,432","67,071,752,207","67,242,951,618","67,552,451,805","68,221,657,487","68,926,537,788","69,482,351,695"
1. Đầu tư vào công ty con,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh","361,033,589,815","3,069,447,007",,,,,"10,924,175,451","11,018,961,233","10,833,986,842","11,198,911,912","10,145,019,488","10,277,311,752","10,635,087,667","11,088,799,476","11,277,677,450","10,499,827,689","10,654,124,941","10,939,173,454","11,129,322,229","11,300,521,640","11,610,021,827","12,279,227,509","12,984,107,810","13,539,921,717"
3. Đầu tư góp vốn vào đơn vị khác,"1,414,429,978","1,414,429,978","1,414,429,978","1,414,429,978","1,414,429,978","1,414,429,978","1,414,429,978","1,414,429,978","1,414,429,978","1,414,429,978","4,813,429,978","5,942,429,978","5,942,429,978","6,041,429,978","6,041,429,978","5,942,429,978","5,942,429,978","5,942,429,978","5,942,429,978","5,942,429,978","5,942,429,978","5,942,429,978","5,942,429,978","5,942,429,978"
4. Dự phòng đầu tư tài chính dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,"50,000,000,000","50,000,000,000","50,000,000,000","151,462,000,000","50,000,000,000","101,103,000,000","50,000,000,000","50,000,000,000","50,000,000,000","50,000,000,000","50,000,000,000","50,000,000,000","50,000,000,000","50,000,000,000","50,000,000,000","50,000,000,000","50,000,000,000"
VI. Tài sản dài hạn khác,"106,291,495,251","111,360,541,319","152,602,172,465","154,568,645,760","158,933,824,023","181,604,455,304","184,115,055,265","209,823,631,306","505,125,895,312","527,084,880,717","512,238,713,307","499,125,976,465","488,080,842,626","492,905,718,050","482,109,035,135","483,913,976,047","476,273,084,696","471,451,272,231","453,533,491,113","441,128,083,873","432,764,431,044","420,627,296,855","406,727,273,721","404,718,974,647"
1. Chi phí trả trước dài hạn,"58,320,335,867","64,814,086,127","108,245,931,428","111,684,450,815","118,154,022,419","142,291,732,285","146,643,957,934","174,425,335,482","180,366,355,262","211,163,079,816","203,673,512,328","199,894,225,904","197,524,003,975","211,078,447,631","210,123,573,365","220,852,571,941","221,481,182,520","225,282,026,165","216,319,688,389","212,622,887,316","213,066,274,231","209,865,563,525","204,946,876,198","209,494,729,846"
2. Tài sản thuế thu nhập hoãn lại,"3,805,329,417","3,805,329,417","3,039,819,455","2,992,477,555","2,312,788,407","2,270,414,014","1,853,492,519","1,205,395,204","2,715,691,800","2,657,122,567","4,079,692,562","3,525,412,060","3,629,670,067","3,679,271,752","2,616,633,020","2,471,745,272","2,981,413,259","3,137,927,066","2,961,653,641","3,032,217,390","3,004,347,563","2,847,093,997","2,644,928,107","4,867,945,301"
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,,,,,,,,,,,,,,,,,,,,,
4. Tài sản dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,
5. Lợi thế thương mại,"44,165,829,967","42,741,125,775","41,316,421,582","39,891,717,390","38,467,013,197","37,042,309,005","35,617,604,812","34,192,900,620","322,043,848,250","313,264,678,334","304,485,508,417","295,706,338,501","286,927,168,584","278,147,998,667","269,368,828,750","260,589,658,834","251,810,488,917","243,031,319,000","234,252,149,083","225,472,979,167","216,693,809,250","207,914,639,333","199,135,469,416","190,356,299,500"
TỔNG CỘNG TÀI SẢN,"6,258,017,858,332","6,246,914,504,296","6,499,650,258,032","6,612,964,785,929","6,440,338,840,209","6,740,282,212,019","7,007,568,066,458","7,191,981,338,513","7,233,846,339,219","7,965,615,504,570","8,111,818,821,884","8,734,164,870,923","10,282,953,531,315","11,531,148,056,192","11,907,113,875,023","11,580,377,047,288","11,665,130,794,498","12,169,592,110,956","12,366,033,767,494","11,805,747,661,664","12,092,717,420,656","12,219,147,818,046","12,522,104,103,396","12,249,052,711,347"
NGUỒN VỐN,,,,,,,,,,,,,,,,,,,,,,,,
C. NỢ PHẢI TRẢ,"1,935,485,171,989","1,737,420,145,809","1,708,158,371,740","1,734,401,990,702","1,410,921,126,008","1,495,420,128,651","1,637,638,615,868","2,030,724,517,886","1,862,724,581,092","2,505,540,325,629","2,382,881,792,458","2,852,117,255,203","3,845,731,049,271","4,141,475,977,312","4,043,791,282,432","3,884,362,656,406","3,775,063,113,323","3,852,736,167,263","3,902,136,570,006","3,238,851,610,589","3,762,287,973,387","3,552,663,115,495","3,512,302,959,635","3,247,184,282,202"
I. Nợ ngắn hạn,"1,905,762,597,739","1,709,050,918,402","1,687,477,143,648","1,714,475,844,249","1,392,417,608,914","1,476,934,294,422","1,619,356,168,830","1,944,644,951,105","1,769,943,149,082","2,413,707,995,261","2,194,681,735,529","2,667,253,043,165","3,672,397,755,441","3,967,893,483,713","3,847,300,642,977","3,693,595,174,275","3,629,116,581,796","3,713,444,802,710","3,761,773,972,054","3,118,268,723,162","3,678,001,232,113","3,468,437,767,636","3,495,555,517,283","3,193,329,874,807"
1. Phải trả người bán ngắn hạn,"241,411,653,466","242,956,565,483","214,987,059,592","282,642,891,430","232,459,216,708","284,478,468,337","281,585,826,832","325,836,130,465","314,474,993,894","296,074,701,523","260,844,568,562","336,902,214,735","468,820,585,259","624,744,518,245","356,041,506,340","447,710,044,018","542,136,075,311","422,145,003,735","449,943,920,217","298,749,196,436","476,791,742,451","533,761,524,341","551,582,595,254","271,582,419,060"
2. Người mua trả tiền trước ngắn hạn,"27,324,772,183","15,586,951,325","17,194,110,488","20,030,330,991","29,308,693,821","28,211,727,684","36,105,547,945","36,165,069,043","27,188,313,302","26,887,136,630","20,941,802,719","36,454,395,810","40,026,164,632","29,610,114,736","28,465,583,144","22,850,056,385","26,470,592,936","23,249,391,964","17,728,209,393","21,330,486,379","24,279,813,746","29,122,954,373","45,713,442,512","35,779,926,235"
