a,b,c,activation,loss_function,final_loss
3,1,1,linear,mse,0.129092962
3,1,1,linear,mape,61.97080231
3,1,2,gelu,mse,0.167728037
3,1,2,gelu,mape,86.24845123
3,1,2,relu,mse,0.143288001
3,1,2,relu,mape,88.93444824
3,1,2,linear,mse,0.163231805
3,1,2,linear,mape,63.66292191
3,1,3,gelu,mse,0.140796453
3,1,3,gelu,mape,74.69076538
3,1,3,relu,mse,0.144487739
3,1,3,relu,mape,76.30541229
3,1,3,linear,mse,0.17652224
3,1,3,linear,mape,67.73361206
3,1,4,gelu,mse,0.158111989
3,1,4,gelu,mape,70.40668488
3,1,4,relu,mse,0.185743392
3,1,4,relu,mape,71.36828613
3,1,4,linear,mse,0.156973436
3,1,4,linear,mape,66.40559387
3,1,5,gelu,mse,0.191810414
3,1,5,gelu,mape,84.85857391
3,1,5,relu,mse,0.165907651
3,1,5,relu,mape,78.81034088
3,1,5,linear,mse,0.162757218
3,1,5,linear,mape,85.13987732
3,2,1,gelu,mse,0.145699486
3,2,1,gelu,mape,69.02378082
3,2,1,relu,mse,0.062247615
3,2,1,relu,mape,62.02075958
3,2,1,linear,mse,0.790349722
3,2,1,linear,mape,62.42904663
3,2,2,gelu,mse,0.137948021
3,2,2,gelu,mape,67.66179657
3,2,2,relu,mse,0.108724199
3,2,2,relu,mape,56.99768066
3,2,2,linear,mse,1.197446704
3,2,2,linear,mape,75.90387726
3,2,3,gelu,mse,0.147425488
3,2,3,gelu,mape,67.3997345
3,2,3,relu,mse,0.088672459
3,2,3,relu,mape,72.98187256
3,2,3,linear,mse,0.150817528
3,2,3,linear,mape,70.65113831
3,2,4,gelu,mse,0.137356728
3,2,4,gelu,mape,78.0112915
3,2,4,relu,mse,0.117180742
3,2,4,relu,mape,102.854454
3,2,4,linear,mse,0.211982831
3,2,4,linear,mape,77.46278381
3,2,5,gelu,mse,0.089380339
3,2,5,gelu,mape,74.19768524
3,2,5,relu,mse,0.18879959
3,2,5,relu,mape,69.56565857
3,2,5,linear,mse,0.211680695
3,2,5,linear,mape,90.66394806
3,3,1,gelu,mse,0.077699549
3,3,1,gelu,mape,163.5745392
3,3,1,relu,mse,0.107106306
3,3,1,relu,mape,73.23735809
3,3,1,linear,mse,0.061167572
3,3,1,linear,mape,65.96047974
3,3,2,gelu,mse,0.094500594
3,3,2,gelu,mape,73.60402679
3,3,2,relu,mse,0.078166798
3,3,2,relu,mape,63.60103226
3,3,2,linear,mse,0.123360574
3,3,2,linear,mape,76.91954041
3,3,3,gelu,mse,0.133580551
3,3,3,gelu,mape,66.57129669
3,3,3,relu,mse,0.149382621
3,3,3,relu,mape,70.62088776
3,3,3,linear,mse,0.134259999
3,3,3,linear,mape,78.43830872
3,3,4,gelu,mse,0.079487003
3,3,4,gelu,mape,74.50885773
3,3,4,relu,mse,0.08478231
3,3,4,relu,mape,67.50863647
3,3,4,linear,mse,0.109954186
3,3,4,linear,mape,83.90304565
3,3,5,gelu,mse,0.094684131
3,3,5,gelu,mape,84.88726807
3,3,5,relu,mse,0.138285995
3,3,5,relu,mape,70.33178711
3,3,5,linear,mse,0.094851375
3,3,5,linear,mape,78.6336441
