a,b,activation,loss_function,final_loss
5,2,relu,mse,0.08735228329896927
5,2,relu,mape,83.34439086914062
5,2,linear,mse,0.11519193649291992
5,2,linear,mape,91.23225402832031
5,3,gelu,mse,0.1110278069972992
5,3,gelu,mape,75.5531234741211
5,3,relu,mse,0.09682655334472656
5,3,relu,mape,59.33181381225586
5,3,linear,mse,0.11598788946866989
5,3,linear,mape,68.73421478271484
5,4,gelu,mse,0.14140579104423523
5,4,gelu,mape,66.1648941040039
5,4,relu,mse,0.11355660110712051
5,4,relu,mape,60.82378387451172
5,4,linear,mse,0.14327067136764526
5,4,linear,mape,71.14142608642578
5,5,gelu,mse,0.13913701474666595
5,5,gelu,mape,74.20442962646484
5,5,relu,mse,0.11941651254892349
5,5,relu,mape,66.9059829711914
5,5,linear,mse,0.17306914925575256
5,5,linear,mape,73.96319580078125
