a,b,activation,loss_function,final_loss
2,4,linear,mape,58.05919647216797
2,5,gelu,mse,0.1332143247127533
2,5,gelu,mape,80.5386734008789
2,5,relu,mse,0.12301967293024063
2,5,relu,mape,61.12637710571289
2,5,linear,mse,0.19211657345294952
2,5,linear,mape,62.64696502685547
3,1,gelu,mse,0.056157778948545456
3,1,gelu,mape,45.85435104370117
3,1,relu,mse,0.06960280239582062
3,1,relu,mape,40.17288589477539
3,1,linear,mse,0.05649862065911293
3,1,linear,mape,43.115821838378906
3,2,gelu,mse,0.09644021093845367
3,2,gelu,mape,52.13880920410156
3,2,relu,mse,0.11042520403862
3,2,relu,mape,61.10003662109375
3,2,linear,mse,0.08822145313024521
3,2,linear,mape,50.69709014892578
3,3,gelu,mse,0.1416092962026596
3,3,gelu,mape,55.1447639465332
3,3,relu,mse,0.09510885924100876
3,3,relu,mape,74.06716918945312
3,3,linear,mse,0.0924413725733757
3,3,linear,mape,63.69894027709961
3,4,gelu,mse,0.13762271404266357
3,4,gelu,mape,70.68960571289062
3,4,relu,mse,0.10612091422080994
3,4,relu,mape,67.6684799194336
3,4,linear,mse,0.1454853117465973
3,4,linear,mape,65.34888458251953
3,5,gelu,mse,0.17138677835464478
3,5,gelu,mape,63.77433395385742
3,5,relu,mse,0.09309373050928116
3,5,relu,mape,67.60839080810547
3,5,linear,mse,0.17056244611740112
3,5,linear,mape,70.91384887695312
4,1,gelu,mse,0.05410131439566612
4,1,gelu,mape,37.054237365722656
4,1,relu,mse,0.058495890349149704
4,1,relu,mape,48.1223030090332
4,1,linear,mse,0.06913803517818451
4,1,linear,mape,54.07509994506836
4,2,gelu,mse,0.0894637405872345
4,2,gelu,mape,53.624229431152344
4,2,relu,mse,0.06516215950250626
4,2,relu,mape,63.28423309326172
4,2,linear,mse,0.09735558182001114
4,2,linear,mape,67.28924560546875
4,3,gelu,mse,0.1444254368543625
4,3,gelu,mape,66.06282043457031
4,3,relu,mse,0.09411671757698059
4,3,relu,mape,55.2962646484375
4,3,linear,mse,0.09754352271556854
4,3,linear,mape,77.76283264160156
4,4,gelu,mse,0.10348104685544968
4,4,gelu,mape,71.37330627441406
4,4,relu,mse,0.08114825934171677
4,4,relu,mape,73.17050170898438
4,4,linear,mse,0.13290688395500183
4,4,linear,mape,67.02295684814453
4,5,gelu,mse,0.12707945704460144
4,5,gelu,mape,64.612548828125
4,5,relu,mse,0.06927251070737839
4,5,relu,mape,66.44671630859375
4,5,linear,mse,0.12127073854207993
4,5,linear,mape,74.81993103027344
5,1,gelu,mse,0.05572332441806793
5,1,gelu,mape,48.59971237182617
5,1,relu,mse,0.05007556080818176
5,1,relu,mape,63.76137161254883
5,1,linear,mse,0.058656878769397736
5,1,linear,mape,40.570762634277344
5,2,gelu,mse,0.07733594626188278
5,2,gelu,mape,45.97874450683594
5,2,relu,mse,0.06985630095005035
5,2,relu,mape,42.41013717651367
5,2,linear,mse,0.09691924601793289
5,2,linear,mape,52.958065032958984
5,3,gelu,mse,0.10999549925327301
5,3,gelu,mape,59.60871505737305
5,3,relu,mse,0.11234861612319946
5,3,relu,mape,57.91632843017578
5,3,linear,mse,0.15264038741588593
5,3,linear,mape,59.82819747924805
5,4,gelu,mse,0.11534790694713593
5,4,gelu,mape,56.510284423828125
5,4,relu,mse,0.0882253497838974
5,4,relu,mape,55.81069564819336
5,4,linear,mse,0.16108818352222443
5,4,linear,mape,57.51168441772461
5,5,gelu,mse,0.17100632190704346
5,5,gelu,mape,70.55939483642578
5,5,relu,mse,0.09553100913763046
5,5,relu,mape,70.31303405761719
5,5,linear,mse,0.13168850541114807
5,5,linear,mape,63.93960189819336
