TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Phải thu dài hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,
2. Trả trước cho người bán dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
3. Vốn kinh doanh ở đơn vị trực thuộc,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn,,,,,,,,,,"2,000,000,000",,,,,,,,,,,,,,
6. Phải thu dài hạn khác,"14,374,146,803","22,500,000","22,500,000","22,500,000","735,000,000","735,000,000","735,000,000",,"22,500,000","22,500,000","22,500,000","22,975,443,201","22,500,000","22,500,000","5,722,547,720","5,394,848,330","22,500,000","22,500,000","32,931,602,375","27,240,953,047","32,931,602,375","32,931,602,375","32,931,602,375",
7. Dự phòng phải thu dài hạn khó đòi,"-22,500,000","-22,500,000","-22,500,000","-22,500,000",,,,,"-22,500,000","-22,500,000","-22,500,000","-22,500,000","-22,500,000","-22,500,000","-22,500,000","-22,500,000","-22,500,000","-22,500,000","-22,500,000","-22,500,000","-22,500,000","-22,500,000","-22,500,000",
II.Tài sản cố định,"1,145,049,079,419","1,101,797,979,107","1,170,353,144,079","1,185,199,563,874","1,237,567,840,935","1,174,026,108,543","1,190,814,790,331","1,256,689,731,803","1,209,967,851,322","1,185,871,492,825","1,111,965,957,983","1,115,070,445,847","1,105,187,802,750","1,050,505,352,549","962,246,169,161","962,124,689,216","932,576,469,106","914,358,416,723","850,492,219,574","865,865,442,675","848,834,815,843","856,296,889,584","828,111,750,340",
1. Tài sản cố định hữu hình,"1,108,903,396,683","1,066,648,729,031","1,135,312,439,117","1,150,267,404,026","1,193,343,312,150","1,129,900,425,654","1,156,072,863,349","1,222,047,083,229","1,175,425,724,287","1,138,459,072,433","1,065,059,397,094","1,066,597,833,836","1,057,285,867,930","1,003,150,462,882","915,438,324,648","915,863,889,856","886,862,714,900","869,191,707,670","805,872,555,675","821,792,823,929","805,309,242,252","813,318,361,148","785,680,267,059",
- Nguyên giá,"2,992,595,504,048","2,689,641,002,362","2,847,160,699,123","2,873,745,299,018","2,927,642,579,437","2,790,643,660,390","2,884,703,276,713","2,962,293,728,615","2,956,036,557,281","2,964,015,178,433","2,964,987,756,098","2,982,425,920,621","2,989,708,449,195","2,987,130,199,744","2,987,511,280,132","3,004,058,627,291","3,005,081,327,464","3,008,967,267,597","3,012,650,049,798","3,040,657,610,123","3,034,227,535,063","3,072,656,972,593","3,107,655,272,731",
