TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Phải trả người bán ngắn hạn,"109,503,538,248","123,092,345,246","79,114,497,438","110,054,807,786",,,,,,,,,,,,,,,,,,,,
2. Người mua trả tiền trước ngắn hạn,"20,774,489,729","19,330,237,773","30,455,622,756","21,296,618,543",,,,,,,,,,,,,,,,,,,,
3. Thuế và các khoản phải nộp nhà nước,"4,636,175,422","6,692,430,523","21,956,234,214","29,584,830,743",,,,,,,,,,,,,,,,,,,,
4. Phải trả người lao động,"24,677,742,589","44,858,845,253","44,961,037,621","55,828,170,644",,,,,,,,,,,,,,,,,,,,
5. Chi phí phải trả ngắn hạn,"25,496,394,365","31,110,257,446","41,829,880,338","59,176,530,049",,,,,,,,,,,,,,,,,,,,
6. Phải trả nội bộ ngắn hạn,"950,761,820","1,067,321,400",,,,,,,,,,,,,,,,,,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,,,,,,,,,,,,,,,,,,
8. Doanh thu chưa thực hiện ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
9. Phải trả ngắn hạn khác,"3,388,884,451","7,602,381,699","4,336,096,432","4,235,569,858",,,,,,,,,,,,,,,,,,,,
10. Vay và nợ thuê tài chính ngắn hạn,"57,215,187,000","57,105,187,000","56,405,187,000","55,770,000,000",,,,,,,,,,,,,,,,,,,,
11. Dự phòng phải trả ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
12. Quỹ khen thưởng phúc lợi,"7,901,127,561","41,793,054,684","21,758,590,792","21,591,761,023",,,,,,,,,,,,,,,,,,,,
13. Quỹ bình ổn giá,,,,,,,,,,,,,,,,,,,,,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,,,,,,,,,,,,,,,,,,,
II. Nợ dài hạn,,,,"23,085,077,839",,,,,,,,,,,,,,,,,,,,
1. Phải trả người bán dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
2. Người mua trả tiền trước dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
3. Chi phí phải trả dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải trả nội bộ về vốn kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải trả nội bộ dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
6. Doanh thu chưa thực hiện dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
7. Phải trả dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,
8. Vay và nợ thuê tài chính dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
9. Trái phiếu chuyển đổi,,,,,,,,,,,,,,,,,,,,,,,,
10. Cổ phiếu ưu đãi,,,,,,,,,,,,,,,,,,,,,,,,
11. Thuế thu nhập hoãn lại phải trả,,,,,,,,,,,,,,,,,,,,,,,,
12. Dự phòng phải trả dài hạn,,,,"23,085,077,839",,,,,,,,,,,,,,,,,,,,
13. Quỹ phát triển khoa học và công nghệ,,,,,,,,,,,,,,,,,,,,,,,,
D.VỐN CHỦ SỞ HỮU,"2,545,208,489,002","2,420,229,620,235","2,538,444,454,262","2,469,283,781,869",,,,,,,,,,,,,,,,,,,,
I. Vốn chủ sở hữu,"2,545,208,489,002","2,420,229,620,235","2,538,444,454,262","2,469,283,781,869",,,,,,,,,,,,,,,,,,,,
