TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
4. Phải trả người lao động,"140,918,722,803","168,641,411,868","190,073,046,910","239,520,745,753",,,,,,,,,,,,,,,,,,,,
5. Chi phí phải trả ngắn hạn,"1,403,533,243,246","1,683,364,143,467","1,576,818,860,703","1,738,321,908,844",,,,,,,,,,,,,,,,,,,,
6. Phải trả nội bộ ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,,,,,,,,,,,,,,,,,,
8. Doanh thu chưa thực hiện ngắn hạn,"6,451,361,951","6,348,839,360","465,948,676","2,111,168,658",,,,,,,,,,,,,,,,,,,,
9. Phải trả ngắn hạn khác,"686,170,232,496","572,651,324,477","578,729,724,411","1,956,364,398,828",,,,,,,,,,,,,,,,,,,,
10. Vay và nợ thuê tài chính ngắn hạn,"2,126,083,288,960","3,272,945,064,774","4,188,147,842,196","5,351,461,260,191",,,,,,,,,,,,,,,,,,,,
11. Dự phòng phải trả ngắn hạn,"6,613,126,588","10,412,364,911","7,562,376,120","8,048,885,766",,,,,,,,,,,,,,,,,,,,
12. Quỹ khen thưởng phúc lợi,"223,199,458,163","358,448,716,959","365,029,705,624","633,936,556,611",,,,,,,,,,,,,,,,,,,,
13. Quỹ bình ổn giá,,,,,,,,,,,,,,,,,,,,,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,,,,,,,,,,,,,,,,,,,
II. Nợ dài hạn,"565,361,558,092","436,616,077,486","337,162,323,893","525,766,348,310",,,,,,,,,,,,,,,,,,,,
1. Phải trả người bán dài hạn,,,,"427,916,520",,,,,,,,,,,,,,,,,,,,
2. Người mua trả tiền trước dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
3. Chi phí phải trả dài hạn,"109,326,868,918","13,708,650,325","13,708,650,325",,,,,,,,,,,,,,,,,,,,,
4. Phải trả nội bộ về vốn kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải trả nội bộ dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
6. Doanh thu chưa thực hiện dài hạn,"415,848,218","415,848,218","415,848,218",,,,,,,,,,,,,,,,,,,,,
7. Phải trả dài hạn khác,"28,356,907,140","27,157,368,960","25,806,335,175","27,418,573,520",,,,,,,,,,,,,,,,,,,,
8. Vay và nợ thuê tài chính dài hạn,"218,007,911,923","188,821,030,390","93,806,389,962","122,992,982,893",,,,,,,,,,,,,,,,,,,,
9. Trái phiếu chuyển đổi,,,,,,,,,,,,,,,,,,,,,,,,
10. Cổ phiếu ưu đãi,,,,,,,,,,,,,,,,,,,,,,,,
11. Thuế thu nhập hoãn lại phải trả,"206,672,783,007","203,853,552,835","200,671,058,583","374,926,875,377",,,,,,,,,,,,,,,,,,,,
12. Dự phòng phải trả dài hạn,"2,581,238,886","2,659,626,758","2,754,041,630",,,,,,,,,,,,,,,,,,,,,
13. Quỹ phát triển khoa học và công nghệ,,,,,,,,,,,,,,,,,,,,,,,,
D.VỐN CHỦ SỞ HỮU,"28,923,230,823,493","28,933,720,200,205","27,840,628,245,882","29,731,255,204,364",,,,,,,,,,,,,,,,,,,,
I. Vốn chủ sở hữu,"28,923,230,823,493","28,933,720,200,205","27,840,628,245,882","29,731,255,204,364",,,,,,,,,,,,,,,,,,,,
1. Vốn góp của chủ sở hữu,"17,416,877,930,000","17,416,877,930,000","17,416,877,930,000","17,416,877,930,000",,,,,,,,,,,,,,,,,,,,
- Cổ phiếu phổ thông có quyền biểu quyết,"17,416,877,930,000","17,416,877,930,000","17,416,877,930,000","17,416,877,930,000",,,,,,,,,,,,,,,,,,,,
- Cổ phiếu ưu đãi,,,,,,,,,,,,,,,,,,,,,,,,
2. Thặng dư vốn cổ phần,,,,,,,,,,,,,,,,,,,,,,,,
3. Quyền chọn chuyển đổi trái phiếu,,,,,,,,,,,,,,,,,,,,,,,,
4. Vốn khác của chủ sở hữu,,,,,,,,,,,,,,,,,,,,,,,,
5. Cổ phiếu quỹ,"-10,807,345,800","-11,623,908,360","-11,644,956,120","-11,644,956,120",,,,,,,,,,,,,,,,,,,,
6. Chênh lệch đánh giá lại tài sản,,,,,,,,,,,,,,,,,,,,,,,,
7. Chênh lệch tỷ giá hối đoái,"26,919,125,269","30,703,437,710","22,809,392,893","23,174,494,894",,,,,,,,,,,,,,,,,,,,
8. Quỹ đầu tư phát triển,"1,449,929,685,712","1,726,647,591,960","1,991,895,881,469","2,200,188,373,195",,,,,,,,,,,,,,,,,,,,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,,,,,,,,,,,,,,,,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,,,,,,,,,,,,,,,,,,,,,,,,
11. Lợi nhuận sau thuế chưa phân phối,"9,451,547,063,899","9,176,996,233,930","7,840,153,595,139","7,875,462,401,924",,,,,,,,,,,,,,,,,,,,
- LNST chưa phân phối lũy kế đến cuối kỳ trước,"2,296,112,749,643","4,633,649,447,173","3,296,806,808,383","3,332,115,615,169",,,,,,,,,,,,,,,,,,,,
- LNST chưa phân phối kỳ này,"7,155,434,314,256","4,543,346,786,757","4,543,346,786,756","4,543,346,786,755",,,,,,,,,,,,,,,,,,,,
12. Nguồn vốn đầu tư XDCB,,,,,,,,,,,,,,,,,,,,,,,,
13. Lợi ích cổ đông không kiểm soát,"588,764,364,413","594,118,914,965","580,536,402,501","2,227,196,960,471",,,,,,,,,,,,,,,,,,,,
II. Nguồn kinh phí và quỹ khác,,,,,,,,,,,,,,,,,,,,,,,,
1. Nguồn kinh phí,,,,,,,,,,,,,,,,,,,,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG NGUỒN VỐN,"38,305,261,792,855","40,186,475,665,451","40,101,852,847,756","44,699,873,386,034",,,,,,,,,,,,,,,,,,,,
